ID,Population_Density,Age,Income,Home_Price,Rental_Price,GDP_Per_Capita,Unemployment_Rate,Commute_Time,Internet_Speed,Crime_Rate,Community_Satisfaction
1,7370,59,59598.93026,50302.52947,3961.439172,50500.38795,5.117960382,25.14114992,30.19091493,5.005252059,14.4553875
2,960,66,89393.81821,478055.1207,1930.412241,75697.67542,1.561291071,36.09251927,46.21012068,3.031025724,-1.441513731
3,5490,45,44186.16587,516445.0447,3501.211684,34094.64615,12.14988796,28.86013995,6.354573112,9.353770144,0.987480521
4,5291,48,58505.98158,151466.228,1700.596531,47584.7896,11.20863933,58.58848308,46.00758772,-0.488673512,4.66665037
5,5834,75,36284.92151,265844.5813,3687.148701,63108.66598,9.50530338,30.35140817,47.76030471,9.377692799,7.301778486
6,6365,26,90949.16854,329488.0876,1732.776596,30456.28478,11.02965206,25.49767048,76.00896874,-0.226241543,4.401311774
7,566,71,32018.41922,316706.619,2931.598653,57486.87323,7.878764701,26.11409286,51.39865161,2.798559173,0.582186461
8,4526,68,20082.99295,,55.74873549,53114.46054,12.13353746,35.75743388,43.78670095,6.674265951,8.269534644
9,5678,46,99990.30488,92048.75843,4506.107728,,3.12911479,43.53412358,85.36991798,0.05934469,7.119096217
10,8422,31,53332.98768,270087.5718,4677.575128,32053.11788,0.271771974,26.18202194,66.91164095,0.045895233,2.755515159
11,1785,57,46857.28717,436223.9366,,41797.86559,4.950946665,27.56436309,43.35216745,2.402860352,4.38734679
12,869,58,45721.39281,421268.5701,3235.234042,34212.73904,3.880385501,36.56765158,48.35397047,8.374798567,0.716446725
13,7049,39,79164.57534,59154.62251,2016.297858,80441.73966,3.454527371,,100.4111877,2.881220397,7.872759085
14,2533,28,89725.65737,464271.4982,3192.06787,67186.59467,10.30860331,10.10180852,53.38345375,6.042508784,6.249050228
15,5411,40,37770.7255,285880.6813,4295.824059,53542.35317,6.68421102,31.19877975,27.50426944,7.019881091,3.895300268
16,5151,18,19316.89006,458352.5435,4882.659028,76307.0325,14.57479136,20.16793801,64.01799978,7.886505787,3.116022603
17,6520,63,96810.97273,159052.6373,,84911.08567,4.966936227,28.19748669,1.423551532,7.502663587,3.083406708
18,1284,54,39934.65969,472290.5193,4925.901316,45657.55151,5.624569337,31.90676773,103.0533153,4.77818304,-0.401574801
19,4655,38,90720.48884,243818.5839,1537.755709,59655.44929,14.21019304,53.45255376,39.79716747,1.585138863,-2.183427942
20,3485,43,33558.12539,172729.8582,4463.670274,51339.24362,13.06699283,41.15579316,45.4812232,4.093974088,-1.993353373
21,6496,63,24864.10013,236450.5635,3092.639845,24852.29467,9.766961665,25.20947524,89.28470062,2.288997248,3.224496688
22,8766,53,60145.66784,485016.0649,347.4247384,82405.15282,8.94355611,46.46734397,36.21433938,1.83957538,0.676082168
23,9374,71,21725.3395,331257.6843,1955.893591,33315.68462,13.78130347,41.24466251,112.0892329,0.720038224,6.682298736
24,2658,40,78480.87794,141917.628,5302.649166,62646.40883,7.286566201,35.2800848,103.9456864,9.648243907,5.020620592
25,7949,74,97602.20925,300055.4729,3534.757771,64582.49201,3.344227106,48.22179393,51.6372354,9.423915906,0.064208955
26,2147,18,24333.94908,266867.0538,4145.051689,40021.38484,13.22309439,17.20862365,96.53605977,2.420112125,1.200700386
27,2847,71,73576.87845,192390.876,818.4298511,73215.14844,8.757507843,58.23038891,0.577272547,2.511633483,4.999901304
28,9267,72,34697.39765,509692.5557,4994.559089,38263.13471,5.119051105,35.93249414,103.0075525,1.033667244,7.922930995
29,289,68,81315.7926,82184.00722,2418.818431,59571.98551,9.898039321,13.4893718,48.13206273,5.22753202,4.987161498
30,2834,57,57633.58026,503765.4059,1972.767666,44185.22621,8.21072879,22.98754272,18.76285795,1.743228745,2.238590763
31,3105,32,97532.55449,298892.6289,526.8190529,61926.75904,14.21631124,59.25409022,36.09371343,9.458721381,5.690854836
32,4758,38,77162.89844,116531.5853,3455.515182,40721.01137,0.213357522,47.50597716,24.40563323,0.102656579,1.481591523
33,1999,64,22974.65045,450792.87,3376.993952,59778.16472,13.82224996,39.05168394,49.41839681,2.912653719,9.614443466
34,7834,26,94010.02197,242149.6691,4103.481876,75499.37695,9.521623048,13.75180569,106.227996,2.589396252,11.17067791
35,1367,70,63389.4907,417930.658,3663.614046,51737.43779,5.984954988,37.0977134,79.02698341,8.314649536,1.525751026
36,1628,26,99960.79641,221698.8123,725.7900388,76665.70213,4.114345909,23.2764119,17.1000624,8.914922821,4.510948795
37,3656,27,40067.80104,191298.2319,4462.005702,48847.78937,10.0679053,4.73516569,28.50241457,8.311266408,2.917825145
38,3990,69,65381.39694,484439.0173,3293.015042,66772.23342,15.07599781,41.1928844,80.65484457,3.257815705,1.438195768
39,8938,74,56739.91351,255462.7796,2970.133759,21615.54897,5.923907536,63.99063971,29.23565863,2.557145797,3.701486765
40,5493,70,25708.79828,343338.5405,1058.380547,53680.24361,4.347742902,44.55464831,22.09867263,0.991307602,9.009795779
41,8892,43,86544.43936,480794.1904,3938.747319,56436.69898,8.749219755,23.64677122,51.91995237,4.894026902,5.700000504
42,8533,58,90804.47513,160313.3162,1446.46321,79850.71913,14.59982755,34.77980529,35.4406589,7.783222,6.972501801
43,7613,52,48782.46901,480698.2433,1334.404881,53646.55359,3.053652299,55.94946047,38.18126772,6.038405001,2.990734093
44,2712,69,49485.48172,411593.3012,3910.775371,59876.80457,11.82051053,48.66010269,60.58191531,3.921308107,2.754173919
45,7141,42,55941.48649,37295.65675,793.9886757,38009.26446,7.941588154,50.1326453,63.89383469,3.867024846,8.63221441
46,9655,43,35285.1016,478851.3765,1469.359264,69894.81922,4.866683669,60.63790971,16.28611616,2.378774485,7.831478954
47,6335,28,98170.8979,477002.6404,2222.731327,36632.76993,9.207078691,59.03386995,96.00146186,6.708060428,10.06771497
48,5586,55,73279.645,156533.9504,2347.541783,67276.44504,3.450360766,17.32352873,69.36137885,3.519438236,7.116952314
